Qty,Vendor Number,Description,List Unit Price,List Extended,Notes,Link,Alt Vendor 1,Alt Vendor 2,Alt Vendor 3,Alt Vendor 4,
8,B07GLQMMLJ,"20T Idler pulleys, 2GT, 5mm bore",3.99,7.98,Alternative to Filastruder Motion Set. Sold in 5-packs. 8 needed (two packs).,https://www.amazon.com/gp/product/B07GLQMMLJ/ref=ppx_yo_dt_b_asin_title_o04_s01?creativeASIN=B07GLQMMLJ&linkCode=w61&imprToken=1d9pH62v6qcWN7IV.F8DlA&slotNum=4&ie=UTF8&psc=1&tag=tv-auto-20,,,,,
4,B071KK6Z8X,"9-pack of 20T toothless idler pulleys, 5mm bore",12.58,12.58,Alternative to Filastruder Motion Set. Sold in 9-packs. 4 needed (1 pack),https://www.amazon.com/gp/product/B071KK6Z8X/ref=ppx_yo_dt_b_asin_title_o04_s00?creativeASIN=B071KK6Z8X&linkCode=w61&imprToken=1d9pH62v6qcWN7IV.F8DlA&slotNum=3&ie=UTF8&psc=1&tag=tv-auto-20,,,,,
1,B07C184P7L,IEC320 C14 120V Power Socket,14.99,14.99,,https://www.amazon.com/gp/product/B07C184P7L/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&psc=1,"https://www.aliexpress.com/item/32982777027.html?spm=a2g0o.productlist.0.0.37dd2f35OgyO8U&algo_pvid=5e764666-8ae2-4bc8-a06d-b3030e04ddbb&algo_expid=5e764666-8ae2-4bc8-a06d-b3030e04ddbb-0&btsid=0ab6fb8815819777287303501e8146&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_","Mouser: 446-084.01001.00-RSI
Requires: 2x Fuses (10A 5mm x 20mm)",Digikey: CCM2178-ND‎,,
,,,,,,,,,,,
,Keenovo,,,,,,,,,,
1,n/a,"Silicone Heated Pad, 300x300mm, 750W, 120V or 220V
with 150C thermal cutoff",71.99,71.99,for bed heating. Choose the voltage for your region. (free shipping!),https://keenovo.store/collections/standard-keenovo-silicone-heaters/products/keenovo-square-silicone-heater-3d-printer-build-plate-heatbed-heating-pad?variant=8324021518391,Amazon ASIN: B00V81ZI70,"Aliexpress: https://www.aliexpress.com/item/32308797940.html?spm=a2g0o.productlist.0.0.3ea54fb61Aj5VF&algo_pvid=cd78e395-2560-4e6d-ac63-9796099c9cb3&algo_expid=cd78e395-2560-4e6d-ac63-9796099c9cb3-3&btsid=9eda9fb9-66cd-4501-93d1-4952c44634dc&ws_ab_test=searchweb0_0,searchweb201602_10,searchweb201603_53",https://www.seemecnc.com/products/silicone-heater-for-300mm-x-300mm-beds-110vac-700w?_pos=8&_sid=75f0d1fc8&_ss=r,,
,,,,,,,,,,,
,Misumi,Alternate: 2020 Extrusion Option (Grey),,,,,,,,,
7,HFS5-2020-74,"20x20 TSlot Extrusion, custom cut to 74mm",$3.03,$21.21,Follow the link to a part number cut to the exact length with tight tolerances.,https://us.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-74&PNSearch=HFS5-2020-74&searchFlow=results2type&KWSearch=HFS5-2020-74,,,,,
7,HFS5-2020-409,"20x20 TSlot Extrusion, custom cut to 409mm",$2.57,$17.99,Follow the link to a part number cut to the exact length with tight tolerances.,https://us.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-409&PNSearch=HFS5-2020-409&searchFlow=results2type&KWSearch=HFS5-2020-409,,,,,
7,HFS5-2020-430,"20x20 TSlot Extrusion, custom cut to 430mm",$2.70,$18.90,Follow the link to a part number cut to the exact length with tight tolerances.,https://us.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-430&PNSearch=HFS5-2020-430&searchFlow=results2type&KWSearch=HFS5-2020-430,,,,,
4,HFS5-2020-604,"20x20 TSlot Extrusion, custom cut to 604mm",$3.83,$15.32,Follow the link to a part number cut to the exact length with tight tolerances.,https://us.misumi-ec.com/vona2/detail/110302683830/?HissuCode=HFS5-2020-604&PNSearch=HFS5-2020-604&searchFlow=results2type&KWSearch=HFS5-2020-604,,,,,
,,,,,,,,,,,
,Aliexpress,,,,,,,,,,
4,n/a,400mm MGN12 Rail with MGN12C carriage,$17.40,$69.60,Budget rails. Visit Filastruder (Alt Vendor 1) for quality LDO Rails ($40),https://www.aliexpress.com/item/32906662047.html?spm=a2g0s.9042311.0.0.64624c4dDXgo61,https://www.filastruder.com/collections/railcore/products/ldo-linear-rails?variant=31793542168647,https://www.zyltech.com/zyltech-mgn12-linear-rail-with-type-c-single-or-double-carriage-block/,https://hightemp3d.com/products/misumi-linear-rail-kit-jubilee-toolchanger,https://www.aliexpress.com/item/1005002062237086.html,
2,n/a,450mm MGN12 Rail with MGN12H carriage,$18.62,$37.24,Budget rails. Visit Filastruder (Alt Vendor 1) for quality LDO Rails ($40),https://www.aliexpress.com/item/32906662047.html?spm=a2g0s.9042311.0.0.64624c4dDXgo61,https://www.filastruder.com/collections/railcore/products/ldo-linear-rails?variant=31796304412743,Amazon ASIN: B077MFSF5F,,,
,,,,,,,,,,,
,Stepper Online,Alternate: Stepper Motor Option,,,,,,,,,
1,14HS13-0804S-PG5,Planetary Stepper,$29.81,$29.81,replaced by LDO motor; still works as a backup.,https://www.omc-stepperonline.com/nema-14-stepper-motor-bipolar-l33mm-w-gear-raio-51-planetary-gearbox-14hs13-0804s-pg5.html?search=14HS13-0804S-PG5,,,,,
5,17HM19-2004S or 17HM19-2004S1,"Stepper Motors for X, Y, Z1, Z2, Z3 motion",$13.76,$68.80,"replaced by LDO motor; still works as a backup, but cables must be 
made longer. Either 17HM19-2004S or 17HM19-2004S1 will work.",https://www.omc-stepperonline.com/nema-17-bipolar-0-9deg-46ncm-65-1oz-in-2a-2-8v-42x42x48mm-4-wires-full-d-cut-shaft.html,Amazon ASIN: B00W9A2L3S,,,,
,,,,,,,,,,,
,Digikey,,,,,,,,,,
1,BC2891-ND,"NTC Ring Lug Thermistor, 10K, for the heated bed",$3.01,$3.01,Optional. Replaceable alternative to using the Keenovo built-in thermistor,https://www.digikey.com/product-detail/en/vishay-bc-components/NTCALUG01A103F/BC2891-ND/4896928,,,,,
6,36-4000-ND,Solder Terminal Lug (used as bed Spring Anchors),$0.20,$1.20,Order a couple spares!,https://www.digikey.com/product-detail/en/keystone-electronics/4000/36-4000-ND/316071,,,,,
2,36-7328-ND,Solder Terminal Lug (used as REL Spring Anchors),$0.17,$0.34,,https://www.digikey.com/product-detail/en/keystone-electronics/7328/36-7328-ND/316697,https://hightemp3d.com/products/keystone-7328-solder-lugs-for-rel-pulleys-bag-of-5,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Total:,"$1,410.97",GREYED OUT line items are not included in the total.,,,,,,
,,,,,Budget another ~$100 for cumulative shipping costs.,,,,,,
,,,,,"Note: total is for motion system cost only.
For two default extruders, check out the 2x Extruder sheet. For other tool 
designs, see the tools page, the community mods page, and discord.",,,,,,
